"NumeroOperation";"DateOperation";"NumeroCompte";"LibelleOperation";"Montant"
102;"2017-01-01";"179";"Prélévement automatique";"-173.93"
103;"2017-01-01";"33";"Facture carte";"-182.1"
104;"2017-01-01";"88";"Virement";"1585.28"
105;"2017-01-01";"195";"Encaissement chèque 255927";"383.15"
106;"2017-01-01";"104";"Prélévement automatique";"-21.74"
107;"2017-01-01";"168";"Virement";"-12.75"
108;"2017-01-01";"44";"Facture carte";"-168.44"
109;"2017-01-01";"3";"Prélévement automatique";"-190.87"
110;"2017-01-01";"168";"Prélévement automatique";"-57.79"
111;"2017-01-01";"1";"Facture carte";"-118.71"
112;"2017-01-01";"186";"Encaissement chèque 020921";"223.3"
113;"2017-01-01";"44";"Encaissement chèque 606410";"55.02"
114;"2017-01-01";"136";"Virement";"-59.76"
115;"2017-01-01";"109";"Facture carte";"-161.74"
116;"2017-01-01";"64";"Prélévement automatique";"-106.36"
117;"2017-01-01";"25";"Facture carte";"-36.97"
118;"2017-01-01";"58";"Virement";"1556.28"
119;"2017-01-01";"158";"Encaissement chèque 423069";"-384.18"
120;"2017-01-01";"118";"Prélévement automatique";"-66.86"
121;"2017-01-01";"164";"Encaissement chèque 883948";"213.12"
122;"2017-01-01";"111";"Prélévement automatique";"-30.45"
123;"2017-01-01";"1";"Facture carte";"-175.64"
124;"2017-01-01";"11";"Facture carte";"-15.45"
125;"2017-01-01";"132";"Facture carte";"-44.37"
126;"2017-01-01";"120";"Encaissement chèque 135048";"239.19"
127;"2017-01-01";"33";"Encaissement chèque 599679";"-6.32"
128;"2017-01-01";"131";"Prélévement automatique";"-37.6"
129;"2017-01-01";"131";"Prélévement automatique";"-137.68"
130;"2017-01-01";"17";"Virement";"237.77"
131;"2017-01-01";"125";"Prélévement automatique";"-135.53"
132;"2017-01-01";"80";"Virement";"-11.77"
133;"2017-01-01";"136";"Facture carte";"-105.72"
134;"2017-01-01";"168";"Prélévement automatique";"-143.39"
135;"2017-01-01";"153";"Prélévement automatique";"-94.08"
136;"2017-01-01";"91";"Prélévement automatique";"-162.17"
137;"2017-01-01";"11";"Encaissement chèque 630784";"-330.18"
138;"2017-01-01";"134";"Virement";"1235.17"
139;"2017-01-01";"134";"Prélévement automatique";"-102.19"
140;"2017-01-01";"122";"Prélévement automatique";"-187.63"
141;"2017-01-01";"58";"Virement";"58.23"
142;"2017-01-01";"26";"Virement";"198.75"
143;"2017-01-01";"131";"Prélévement automatique";"-69.29"
144;"2017-01-01";"161";"Virement";"176.16"
145;"2017-01-01";"195";"Encaissement chèque 192920";"233.83"
146;"2017-01-01";"11";"Virement";"1259.6"
147;"2017-01-01";"134";"Virement";"-164.63"
148;"2017-01-01";"8";"Prélévement automatique";"-181.53"
149;"2017-01-01";"104";"Prélévement automatique";"-35.05"
150;"2017-01-01";"179";"Facture carte";"-55.73"
151;"2017-01-01";"112";"Prélévement automatique";"-156.83"
152;"2017-01-01";"136";"Facture carte";"-58.15"
153;"2017-01-01";"61";"Encaissement chèque 902419";"335.25"
154;"2017-01-01";"88";"Encaissement chèque 619429";"391.34"
155;"2017-01-01";"3";"Encaissement chèque 431634";"-148.66"
156;"2017-01-01";"25";"Prélévement automatique";"-126.52"
157;"2017-01-01";"8";"Virement";"386.0"
158;"2017-01-01";"143";"Virement";"-231.3"
159;"2017-01-01";"101";"Virement";"1283.1"
160;"2017-01-01";"187";"Facture carte";"-88.44"
161;"2017-01-01";"64";"Virement";"-68.45"
162;"2017-01-01";"111";"Virement";"-21.55"
163;"2017-01-01";"112";"Virement";"848.26"
164;"2017-01-01";"13";"Encaissement chèque 804102";"54.43"
165;"2017-01-01";"136";"Virement";"88.97"
166;"2017-01-01";"158";"Facture carte";"-143.37"
167;"2017-01-01";"30";"Encaissement chèque 472757";"-274.04"
168;"2017-01-01";"1";"Facture carte";"-178.42"
169;"2017-01-01";"168";"Virement";"85.82"
170;"2017-01-01";"111";"Facture carte";"-7.8"
171;"2017-01-01";"179";"Virement";"666.02"
172;"2017-01-01";"161";"Facture carte";"-145.1"
173;"2017-01-01";"88";"Encaissement chèque 448691";"181.55"
174;"2017-01-01";"81";"Intérets reversés au capital";"661.42"
175;"2017-01-01";"193";"Facture carte";"-8.06"
176;"2017-01-01";"34";"Encaissement chèque 504538";"-366.74"
177;"2017-01-01";"158";"Encaissement chèque 459725";"220.01"
178;"2017-01-01";"25";"Encaissement chèque 373232";"-332.74"
179;"2017-01-01";"48";"Facture carte";"-176.81"
180;"2017-01-01";"50";"Encaissement chèque 887524";"-179.02"
181;"2017-01-01";"8";"Virement";"1536.92"
182;"2017-01-01";"158";"Facture carte";"-44.46"
183;"2017-01-01";"19";"Encaissement chèque 121692";"-55.86"
184;"2017-01-01";"161";"Facture carte";"-167.21"
185;"2017-01-01";"15";"Virement";"-388.78"
186;"2017-01-01";"129";"Virement";"-235.22"
187;"2017-01-01";"13";"Virement";"1073.75"
188;"2017-01-01";"168";"Facture carte";"-190.14"
189;"2017-01-01";"193";"Encaissement chèque 881058";"-101.16"
190;"2017-01-01";"23";"Prélévement automatique";"-139.7"
191;"2017-01-01";"172";"Facture carte";"-162.02"
192;"2017-01-01";"171";"Facture carte";"-142.71"
193;"2017-01-01";"131";"Prélévement automatique";"-39.81"
194;"2017-01-01";"166";"Virement";"750.19"
195;"2017-01-01";"42";"Virement";"1459.49"
196;"2017-01-01";"164";"Prélévement automatique";"-133.72"
197;"2017-01-01";"186";"Facture carte";"-146.86"
198;"2017-01-01";"25";"Encaissement chèque 951117";"-184.3"
199;"2017-01-01";"179";"Facture carte";"-143.57"
200;"2017-01-01";"111";"Virement";"647.5"
201;"2017-01-01";"25";"Virement";"-60.75"
202;"2017-01-01";"158";"Facture carte";"-55.55"
203;"2017-01-01";"186";"Virement";"664.47"
204;"2017-01-01";"56";"Prélévement automatique";"-184.61"
205;"2017-01-01";"118";"Facture carte";"-36.81"
206;"2017-01-01";"75";"Encaissement chèque 902851";"338.53"
207;"2017-01-01";"187";"Prélévement automatique";"-65.2"
208;"2017-01-02";"53";"Encaissement chèque 917872";"582.25"
209;"2017-01-02";"91";"Encaissement chèque 834581";"326.9"
210;"2017-01-02";"19";"Encaissement chèque 352170";"239.2"
211;"2017-01-02";"19";"Encaissement chèque 237999";"-218.27"
212;"2017-01-02";"166";"Virement";"324.49"
213;"2017-01-02";"58";"Facture carte";"-196.34"
214;"2017-01-02";"167";"Virement";"-223.03"
215;"2017-01-02";"125";"Encaissement chèque 589761";"-132.07"
216;"2017-01-02";"2";"Encaissement chèque 030173";"201.3"
217;"2017-01-02";"56";"Virement";"1500.85"
218;"2017-01-02";"168";"Prélévement automatique";"-198.45"
219;"2017-01-02";"187";"Prélévement automatique";"-60.91"
220;"2017-01-02";"13";"Facture carte";"-196.24"
221;"2017-01-02";"73";"Virement";"1137.8"
222;"2017-01-02";"104";"Encaissement chèque 216929";"-197.19"
223;"2017-01-02";"179";"Encaissement chèque 183751";"4.22"
224;"2017-01-02";"80";"Facture carte";"-47.63"
225;"2017-01-02";"30";"Prélévement automatique";"-184.19"
226;"2017-01-02";"44";"Virement";"1024.74"
227;"2017-01-02";"111";"Prélévement automatique";"-52.84"
228;"2017-01-02";"138";"Facture carte";"-199.98"
229;"2017-01-02";"105";"Virement";"-236.89"
230;"2017-01-02";"171";"Facture carte";"-45.45"
231;"2017-01-02";"56";"Virement";"1399.14"
232;"2017-01-02";"133";"Intérets reversés au capital";"3139.54"
233;"2017-01-02";"94";"Prélévement automatique";"-85.63"
234;"2017-01-02";"179";"Facture carte";"-71.32"
235;"2017-01-02";"104";"Prélévement automatique";"-174.93"
236;"2017-01-02";"186";"Encaissement chèque 379017";"-201.85"
237;"2017-01-02";"42";"Virement";"723.1"
238;"2017-01-02";"137";"Facture carte";"-62.2"
239;"2017-01-02";"193";"Encaissement chèque 406269";"31.85"
240;"2017-01-02";"137";"Prélévement automatique";"-133.16"
241;"2017-01-02";"19";"Encaissement chèque 851878";"295.5"
242;"2017-01-02";"132";"Virement";"698.88"
243;"2017-01-02";"1";"Facture carte";"-57.07"
244;"2017-01-02";"134";"Virement";"-194.96"
245;"2017-01-02";"11";"Facture carte";"-23.35"
246;"2017-01-02";"122";"Facture carte";"-189.01"
247;"2017-01-02";"94";"Encaissement chèque 573407";"219.87"
248;"2017-01-02";"150";"Prélévement automatique";"-117.74"
249;"2017-01-02";"50";"Encaissement chèque 091491";"-14.72"
250;"2017-01-02";"94";"Encaissement chèque 499414";"130.69"
251;"2017-01-02";"137";"Encaissement chèque 718053";"250.35"
252;"2017-01-02";"191";"Virement";"-294.15"
253;"2017-01-02";"57";"Facture carte";"-65.15"
254;"2017-01-02";"183";"Virement";"621.02"
255;"2017-01-02";"138";"Prélévement automatique";"-196.28"
256;"2017-01-02";"109";"Encaissement chèque 912859";"241.05"
257;"2017-01-02";"1";"Encaissement chèque 011383";"103.23"
258;"2017-01-02";"87";"Virement";"-243.56"
259;"2017-01-02";"118";"Encaissement chèque 317454";"-30.01"
260;"2017-01-02";"138";"Prélévement automatique";"-44.86"
261;"2017-01-02";"186";"Encaissement chèque 118961";"-354.12"
262;"2017-01-02";"33";"Encaissement chèque 378914";"124.29"
263;"2017-01-02";"56";"Facture carte";"-94.53"
264;"2017-01-02";"136";"Facture carte";"-44.18"
265;"2017-01-02";"171";"Facture carte";"-22.35"
266;"2017-01-02";"183";"Prélévement automatique";"-175.81"
267;"2017-01-02";"44";"Virement";"962.1"
268;"2017-01-02";"195";"Virement";"282.06"
269;"2017-01-02";"30";"Virement";"578.05"
270;"2017-01-02";"94";"Encaissement chèque 461791";"248.52"
271;"2017-01-02";"132";"Prélévement automatique";"-185.79"
272;"2017-01-02";"101";"Encaissement chèque 141866";"269.71"
273;"2017-01-02";"94";"Encaissement chèque 089870";"61.59"
274;"2017-01-02";"94";"Facture carte";"-167.48"
275;"2017-01-02";"118";"Facture carte";"-83.8"
276;"2017-01-02";"153";"Virement";"1260.9"
277;"2017-01-02";"195";"Prélévement automatique";"-182.56"
278;"2017-01-02";"164";"Facture carte";"-190.58"
279;"2017-01-02";"111";"Prélévement automatique";"-44.62"
280;"2017-01-02";"183";"Encaissement chèque 798610";"323.42"
281;"2017-01-02";"41";"Facture carte";"-90.11"
282;"2017-01-02";"30";"Virement";"-131.87"
283;"2017-01-02";"193";"Facture carte";"-189.75"
284;"2017-01-02";"118";"Facture carte";"-84.3"
285;"2017-01-02";"87";"Prélévement automatique";"-76.03"
286;"2017-01-02";"105";"Facture carte";"-123.2"
287;"2017-01-02";"105";"Virement";"939.18"
288;"2017-01-02";"186";"Prélévement automatique";"-141.92"
289;"2017-01-02";"122";"Encaissement chèque 039884";"-194.09"
290;"2017-01-02";"88";"Prélévement automatique";"-95.2"
291;"2017-01-02";"11";"Virement";"427.67"
292;"2017-01-02";"174";"Versement forfaitaire";"326.69"
293;"2017-01-02";"8";"Prélévement automatique";"-69.68"
294;"2017-01-02";"171";"Virement";"345.2"
295;"2017-01-02";"36";"Prélévement automatique";"-34.23"
296;"2017-01-02";"168";"Prélévement automatique";"-23.34"
297;"2017-01-02";"57";"Prélévement automatique";"-20.88"
298;"2017-01-02";"171";"Prélévement automatique";"-197.57"
299;"2017-01-02";"166";"Prélévement automatique";"-175.79"
300;"2017-01-02";"94";"Facture carte";"-134.14"
301;"2017-01-02";"132";"Facture carte";"-67.71"
302;"2017-01-02";"44";"Virement";"1093.97"
303;"2017-01-02";"2";"Prélévement automatique";"-168.65"
304;"2017-01-02";"134";"Virement";"21.93"
305;"2017-01-02";"136";"Prélévement automatique";"-40.49"
306;"2017-01-02";"33";"Facture carte";"-147.14"
307;"2017-01-02";"144";"Versement forfaitaire";"394.26"
308;"2017-01-02";"17";"Facture carte";"-114.8"
309;"2017-01-02";"101";"Encaissement chèque 067270";"300.28"
310;"2017-01-02";"94";"Facture carte";"-89.62"
311;"2017-01-02";"91";"Encaissement chèque 392580";"-309.89"
312;"2017-01-02";"158";"Facture carte";"-39.24"
313;"2017-01-02";"87";"Prélévement automatique";"-182.62"
314;"2017-01-02";"48";"Prélévement automatique";"-42.13"
315;"2017-01-02";"25";"Encaissement chèque 967547";"-259.52"
316;"2017-01-02";"44";"Encaissement chèque 701088";"394.88"
317;"2017-01-02";"164";"Encaissement chèque 585579";"372.96"
318;"2017-01-02";"161";"Prélévement automatique";"-109.26"
319;"2017-01-02";"1";"Prélévement automatique";"-183.41"
320;"2017-01-02";"195";"Facture carte";"-5.87"
321;"2017-01-02";"58";"Encaissement chèque 448681";"245.06"
322;"2017-01-02";"172";"Virement";"1003.18"
323;"2017-01-02";"193";"Virement";"412.02"
324;"2017-01-02";"17";"Facture carte";"-169.96"
325;"2017-01-02";"33";"Encaissement chèque 802910";"-396.86"
326;"2017-01-02";"103";"Prélévement automatique";"-96.25"
327;"2017-01-02";"168";"Virement";"299.93"
328;"2017-01-02";"103";"Encaissement chèque 577790";"-12.91"
329;"2017-01-02";"153";"Virement";"1580.98"
330;"2017-01-02";"73";"Virement";"-23.26"
331;"2017-01-02";"179";"Encaissement chèque 956915";"-315.31"
332;"2017-01-02";"166";"Virement";"868.1"
333;"2017-01-02";"94";"Virement";"299.81"
334;"2017-01-02";"17";"Facture carte";"-161.43"
335;"2017-01-02";"112";"Virement";"478.44"
336;"2017-01-02";"58";"Encaissement chèque 578077";"99.23"
337;"2017-01-02";"101";"Prélévement automatique";"-142.14"
338;"2017-01-02";"186";"Virement";"1333.68"
339;"2017-01-02";"80";"Prélévement automatique";"-52.56"
340;"2017-01-02";"87";"Virement";"-13.82"
341;"2017-01-02";"172";"Prélévement automatique";"-85.5"
342;"2017-01-02";"136";"Encaissement chèque 349649";"-21.0"
343;"2017-01-02";"140";"Intérets reversés au capital";"693.82"
344;"2017-01-02";"44";"Facture carte";"-64.74"
345;"2017-01-02";"195";"Virement";"1255.34"
346;"2017-01-02";"112";"Encaissement chèque 733111";"162.02"
347;"2017-01-02";"171";"Prélévement automatique";"-151.16"
348;"2017-01-02";"105";"Encaissement chèque 312428";"-67.16"
349;"2017-01-02";"64";"Facture carte";"-15.1"
350;"2017-01-02";"80";"Encaissement chèque 787327";"-14.24"
351;"2017-01-02";"138";"Facture carte";"-160.73"
352;"2017-01-02";"131";"Facture carte";"-69.78"
353;"2017-01-02";"48";"Facture carte";"-98.0"
354;"2017-01-02";"23";"Virement";"961.6"
355;"2017-01-02";"166";"Encaissement chèque 404894";"167.57"
356;"2017-01-02";"8";"Facture carte";"-186.51"
357;"2017-01-02";"101";"Prélévement automatique";"-167.97"
358;"2017-01-02";"12";"Encaissement chèque 821959";"360.35"
359;"2017-01-02";"91";"Virement";"849.97"
360;"2017-01-02";"1";"Virement";"970.99"
361;"2017-01-02";"91";"Facture carte";"-127.39"
362;"2017-01-02";"19";"Virement";"1478.63"
363;"2017-01-02";"112";"Encaissement chèque 817421";"-102.75"
364;"2017-01-02";"122";"Encaissement chèque 019625";"274.62"
365;"2017-01-02";"122";"Encaissement chèque 635873";"-341.16"
366;"2017-01-02";"112";"Encaissement chèque 625382";"53.84"
367;"2017-01-02";"132";"Facture carte";"-184.29"
368;"2017-01-02";"150";"Facture carte";"-35.45"
369;"2017-01-02";"171";"Encaissement chèque 086878";"350.31"
370;"2017-01-02";"12";"Virement";"1181.51"
371;"2017-01-02";"195";"Virement";"968.14"
372;"2017-01-02";"158";"Encaissement chèque 758630";"291.4"
373;"2017-01-02";"13";"Virement";"695.26"
374;"2017-01-02";"57";"Prélévement automatique";"-56.02"
375;"2017-01-02";"8";"Encaissement chèque 067911";"310.97"
376;"2017-01-02";"41";"Virement";"1223.44"
377;"2017-01-02";"17";"Virement";"1232.4"
378;"2017-01-02";"125";"Facture carte";"-141.57"
379;"2017-01-02";"193";"Encaissement chèque 003563";"385.42"
380;"2017-01-02";"166";"Encaissement chèque 202180";"266.76"
381;"2017-01-02";"50";"Virement";"-117.15"
382;"2017-01-02";"57";"Virement";"-13.61"
383;"2017-01-02";"187";"Virement";"337.59"
384;"2017-01-02";"186";"Prélévement automatique";"-119.51"
385;"2017-01-02";"34";"Prélévement automatique";"-78.09"
386;"2017-01-02";"164";"Virement";"1338.48"
387;"2017-01-02";"50";"Facture carte";"-113.54"
388;"2017-01-02";"104";"Facture carte";"-107.34"
389;"2017-01-02";"166";"Virement";"35.8"
390;"2017-01-02";"167";"Encaissement chèque 539343";"-6.83"
391;"2017-01-02";"193";"Prélévement automatique";"-35.62"
392;"2017-01-02";"166";"Virement";"-21.65"
393;"2017-01-02";"13";"Encaissement chèque 289167";"-181.22"
394;"2017-01-02";"104";"Prélévement automatique";"-98.65"
395;"2017-01-02";"101";"Encaissement chèque 272983";"-46.54"
396;"2017-01-02";"65";"Intérets reversés au capital";"474.25"
397;"2017-01-02";"101";"Encaissement chèque 542735";"60.8"
398;"2017-01-02";"94";"Encaissement chèque 836797";"138.37"
399;"2017-01-02";"34";"Virement";"416.66"
400;"2017-01-02";"187";"Prélévement automatique";"-60.15"
401;"2017-01-02";"101";"Prélévement automatique";"-35.95"
402;"2017-01-02";"131";"Facture carte";"-127.92"
403;"2017-01-02";"186";"Prélévement automatique";"-63.33"
404;"2017-01-02";"161";"Virement";"-36.7"
405;"2017-01-02";"103";"Encaissement chèque 615288";"342.57"
406;"2017-01-02";"33";"Encaissement chèque 799277";"226.3"
407;"2017-01-02";"131";"Facture carte";"-137.44"
408;"2017-01-02";"88";"Encaissement chèque 304926";"-374.78"
409;"2017-01-02";"179";"Prélévement automatique";"-174.85"
410;"2017-01-02";"41";"Virement";"348.29"
411;"2017-01-02";"166";"Facture carte";"-118.93"
412;"2017-01-02";"138";"Virement";"-177.25"
413;"2017-01-02";"132";"Facture carte";"-101.68"
414;"2017-01-02";"134";"Encaissement chèque 079527";"-68.36"
415;"2017-01-02";"1";"Facture carte";"-186.08"
416;"2017-01-02";"8";"Encaissement chèque 586706";"-350.88"
417;"2017-01-02";"19";"Prélévement automatique";"-124.65"
418;"2017-01-02";"80";"Virement";"1589.22"
419;"2017-01-02";"187";"Facture carte";"-112.25"
420;"2017-01-02";"48";"Encaissement chèque 904101";"25.9"
421;"2017-01-03";"131";"Encaissement chèque 028368";"256.48"
422;"2017-01-03";"195";"Encaissement chèque 426998";"219.63"
423;"2017-01-03";"33";"Encaissement chèque 075146";"-87.13"
424;"2017-01-03";"64";"Prélévement automatique";"-24.06"
425;"2017-01-03";"64";"Encaissement chèque 929047";"-318.1"
426;"2017-01-03";"12";"Facture carte";"-92.11"
427;"2017-01-03";"75";"Facture carte";"-65.13"
428;"2017-01-03";"179";"Encaissement chèque 219595";"359.47"
429;"2017-01-03";"179";"Encaissement chèque 245074";"174.82"
430;"2017-01-03";"19";"Facture carte";"-50.48"
431;"2017-01-03";"8";"Prélévement automatique";"-104.85"
432;"2017-01-03";"104";"Prélévement automatique";"-149.23"
433;"2017-01-03";"42";"Prélévement automatique";"-169.07"
434;"2017-01-03";"183";"Facture carte";"-143.61"
435;"2017-01-03";"150";"Virement";"981.2"
436;"2017-01-03";"1";"Facture carte";"-20.49"
437;"2017-01-03";"109";"Facture carte";"-51.51"
438;"2017-01-03";"101";"Facture carte";"-93.69"
439;"2017-01-03";"164";"Encaissement chèque 470030";"-8.47"
440;"2017-01-03";"193";"Encaissement chèque 826623";"-18.92"
441;"2017-01-03";"75";"Encaissement chèque 390778";"370.28"
442;"2017-01-03";"111";"Prélévement automatique";"-46.16"
443;"2017-01-03";"125";"Prélévement automatique";"-104.37"
444;"2017-01-03";"33";"Prélévement automatique";"-181.9"
445;"2017-01-03";"168";"Prélévement automatique";"-144.36"
446;"2017-01-03";"56";"Encaissement chèque 882329";"263.05"
447;"2017-01-03";"168";"Prélévement automatique";"-46.47"
448;"2017-01-03";"33";"Prélévement automatique";"-56.15"
449;"2017-01-03";"101";"Encaissement chèque 748145";"-262.22"
450;"2017-01-03";"168";"Facture carte";"-108.25"
451;"2017-01-03";"172";"Encaissement chèque 352586";"-317.32"
452;"2017-01-03";"94";"Prélévement automatique";"-60.46"
453;"2017-01-03";"75";"Virement";"1585.06"
454;"2017-01-03";"44";"Virement";"1233.08"
455;"2017-01-03";"48";"Encaissement chèque 840035";"-120.29"
456;"2017-01-03";"153";"Prélévement automatique";"-92.18"
457;"2017-01-03";"19";"Facture carte";"-60.32"
458;"2017-01-03";"25";"Encaissement chèque 503754";"44.67"
459;"2017-01-03";"88";"Virement";"657.86"
460;"2017-01-03";"172";"Virement";"-105.99"
461;"2017-01-03";"104";"Virement";"175.01"
462;"2017-01-03";"8";"Facture carte";"-123.62"
463;"2017-01-03";"48";"Facture carte";"-54.5"
464;"2017-01-03";"3";"Encaissement chèque 857120";"203.3"
465;"2017-01-03";"125";"Virement";"1485.21"
466;"2017-01-03";"135";"Encaissement chèque 395217";"319.47"
467;"2017-01-03";"12";"Encaissement chèque 980269";"71.42"
468;"2017-01-03";"193";"Virement";"1121.97"
469;"2017-01-03";"183";"Facture carte";"-47.05"
470;"2017-01-03";"12";"Prélévement automatique";"-50.75"
471;"2017-01-03";"101";"Prélévement automatique";"-103.23"
472;"2017-01-03";"64";"Prélévement automatique";"-63.13"
473;"2017-01-03";"104";"Facture carte";"-78.97"
474;"2017-01-03";"102";"Virement";"231.85"
475;"2017-01-03";"111";"Virement";"853.47"
476;"2017-01-03";"166";"Prélévement automatique";"-37.25"
477;"2017-01-03";"19";"Facture carte";"-85.29"
478;"2017-01-03";"118";"Prélévement automatique";"-169.17"
479;"2017-01-03";"77";"Virement";"454.68"
480;"2017-01-03";"193";"Facture carte";"-36.41"
481;"2017-01-03";"11";"Facture carte";"-151.47"
482;"2017-01-03";"111";"Virement";"1062.31"
483;"2017-01-03";"43";"Virement";"-165.83"
484;"2017-01-03";"64";"Encaissement chèque 294896";"302.4"
485;"2017-01-03";"101";"Facture carte";"-91.41"
486;"2017-01-03";"138";"Facture carte";"-148.24"
487;"2017-01-03";"122";"Encaissement chèque 997374";"8.57"
488;"2017-01-03";"94";"Virement";"603.14"
